"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"19","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","50","Parameter 'pk' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"20","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","2","51","System.out.print is used","Java Logging Rules","SystemPrintln"
"21","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","2","52","System.out.print is used","Java Logging Rules","SystemPrintln"
"22","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","53","The String literal 'success' appears 11 times in this file; the first occurrence is on line 53","String and StringBuffer Rules","AvoidDuplicateLiterals"
"23","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","56","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
"24","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","57","Avoid variables with short names like id","Naming Rules","ShortVariable"
"25","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","57","Parameter 'id' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"26","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","57","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"27","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","2","58","System.out.print is used","Java Logging Rules","SystemPrintln"
"28","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","2","59","System.out.print is used","Java Logging Rules","SystemPrintln"
"29","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","68","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
"30","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","69","Parameter 'aaa' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"31","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","2","70","System.out.print is used","Java Logging Rules","SystemPrintln"
"32","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","82","Local variable 'username' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"33","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","83","Local variable 'password' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"34","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","99","Local variable 'inputname' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"35","com.dgr.pojo","src/com/dgr/pojo/Address.java","3","12","Parameter 'province' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"36","com.dgr.pojo","src/com/dgr/pojo/Address.java","3","20","Parameter 'city' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"37","com.dgr.pojo","src/com/dgr/pojo/User.java","3","14","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"38","com.dgr.pojo","src/com/dgr/pojo/User.java","3","22","Parameter 'age' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"39","com.dgr.pojo","src/com/dgr/pojo/User.java","3","30","Parameter 'address' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"40","com.dgr.pojo","src/com/dgr/pojo/Users.java","3","9","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"41","com.dgr.pojo","src/com/dgr/pojo/Users.java","3","15","Parameter 'pwd' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
